date,home,region,city
1997-06-01,"Monterey, CA",California,"Monterey, California"
1997-06-02,"Monterey, CA",California,"Monterey, California"
1997-06-03,"Monterey, CA",California,"Monterey, California"
1997-06-04,"Monterey, CA",California,"Monterey, California"
1997-06-05,"Monterey, CA",California,"Monterey, California"
1997-06-06,"Monterey, CA",California,"Monterey, California"
1997-06-07,"Monterey, CA",California,"Monterey, California"
1997-06-08,"Monterey, CA",California,"Monterey, California"
1997-06-09,"Monterey, CA",California,"Monterey, California"
1997-06-10,"Monterey, CA",California,"Monterey, California"
1997-06-11,"Monterey, CA",California,"Monterey, California"
1997-06-12,"Monterey, CA",California,"Monterey, California"
1997-06-13,"Monterey, CA",California,"Monterey, California"
1997-06-14,"Monterey, CA",California,"Monterey, California"
1997-06-15,"Monterey, CA",California,"Monterey, California"
1997-06-16,"Monterey, CA",California,"Monterey, California"
1997-06-17,"Monterey, CA",California,"Monterey, California"
1997-06-18,"Monterey, CA",California,"Monterey, California"
1997-06-19,"Monterey, CA",California,"Monterey, California"
1997-06-20,"Monterey, CA",California,"Monterey, California"
1997-06-21,None,Tennessee,"Smithville, Tennessee"
1997-06-22,None,Tennessee,"Smithville, Tennessee"
1997-06-23,None,Tennessee,"Smithville, Tennessee"
1997-06-24,None,Tennessee,"Smithville, Tennessee"
1997-06-25,None,Tennessee,"Smithville, Tennessee"
1997-06-26,None,Ohio,"Springfield, Ohio"
1997-06-27,None,Ohio,"Springfield, Ohio"
1997-06-28,None,Ohio,"Springfield, Ohio"
1997-06-29,None,Ohio,"Springfield, Ohio"
1997-06-30,None,Ohio,"Springfield, Ohio"
1997-07-01,None,Ohio,"Springfield, Ohio"
1997-07-02,None,Ohio,"Springfield, Ohio"
1997-07-03,None,Ohio,"Springfield, Ohio"
1997-07-04,None,Ohio,"Springfield, Ohio"
1997-07-05,None,Ohio,"Springfield, Ohio"
1997-07-06,None,Ohio,"Springfield, Ohio"
1997-07-07,None,Ohio,"Springfield, Ohio"
1997-07-08,None,Ohio,"Springfield, Ohio"
1997-07-09,None,Ohio,"Springfield, Ohio"
1997-07-10,None,Ohio,"Springfield, Ohio"
1997-07-11,None,Ohio,"Springfield, Ohio"
1997-07-12,None,Ohio,"Springfield, Ohio"
1997-07-13,None,Ohio,"Springfield, Ohio"
1997-07-14,None,Ohio,"Springfield, Ohio"
1997-07-15,None,Ohio,"Springfield, Ohio"
1997-07-16,None,Ohio,"Springfield, Ohio"
1997-07-17,None,Ohio,"Springfield, Ohio"
1997-07-18,None,Ohio,"Springfield, Ohio"
1997-07-19,None,Ohio,"Springfield, Ohio"
1997-07-20,None,Ohio,"Springfield, Ohio"
1997-07-21,None,Ohio,"Springfield, Ohio"
1997-07-22,None,Ohio,"Springfield, Ohio"
1997-07-23,None,Ohio,"Springfield, Ohio"
1997-07-24,None,Ohio,"Springfield, Ohio"
1997-07-25,None,Ohio,"Springfield, Ohio"
1997-07-26,None,Ohio,"Springfield, Ohio"
1997-07-27,None,Ohio,"Springfield, Ohio"
1997-07-28,None,Ohio,"Springfield, Ohio"
1997-07-29,None,Ohio,"Springfield, Ohio"
1997-07-30,None,Ohio,"Springfield, Ohio"
1997-07-31,"Garmisch-Partenkirchen, DE",Germany,"Garmisch-Partenkirchen, Germany"
1997-08-01,"Garmisch-Partenkirchen, DE",Germany,"Garmisch-Partenkirchen, Germany"
1997-08-02,"Garmisch-Partenkirchen, DE",Germany,"Garmisch-Partenkirchen, Germany"
1997-08-03,"Garmisch-Partenkirchen, DE",Germany,"Garmisch-Partenkirchen, Germany"
1997-08-04,"Garmisch-Partenkirchen, DE",Germany,"Garmisch-Partenkirchen, Germany"
1997-08-05,"Garmisch-Partenkirchen, DE",Germany,"Garmisch-Partenkirchen, Germany"
1997-08-06,"Garmisch-Partenkirchen, DE",Germany,"Garmisch-Partenkirchen, Germany"
1997-08-07,"Garmisch-Partenkirchen, DE",Germany,"Garmisch-Partenkirchen, Germany"
1997-08-08,"Garmisch-Partenkirchen, DE",Germany,"Garmisch-Partenkirchen, Germany"
1997-08-09,"Garmisch-Partenkirchen, DE",Germany,"Garmisch-Partenkirchen, Germany"
1997-08-10,"Garmisch-Partenkirchen, DE",Germany,"Garmisch-Partenkirchen, Germany"
1997-08-11,"Garmisch-Partenkirchen, DE",Germany,"Garmisch-Partenkirchen, Germany"
1997-08-12,"Garmisch-Partenkirchen, DE",Germany,"Garmisch-Partenkirchen, Germany"
1997-08-13,"Garmisch-Partenkirchen, DE",Germany,"Garmisch-Partenkirchen, Germany"
1997-08-14,"Garmisch-Partenkirchen, DE",Germany,"Garmisch-Partenkirchen, Germany"
1997-08-15,"Garmisch-Partenkirchen, DE",Germany,"Garmisch-Partenkirchen, Germany"
1997-08-16,"Garmisch-Partenkirchen, DE",Germany,"Garmisch-Partenkirchen, Germany"
1997-08-17,"Garmisch-Partenkirchen, DE",Germany,"Garmisch-Partenkirchen, Germany"
1997-08-18,"Garmisch-Partenkirchen, DE",Germany,"Garmisch-Partenkirchen, Germany"
1997-08-19,"Garmisch-Partenkirchen, DE",Germany,"Garmisch-Partenkirchen, Germany"
1997-08-20,"Garmisch-Partenkirchen, DE",Germany,"Garmisch-Partenkirchen, Germany"
